instance,lp_obj,bench_obj,abs_diff,rel_diff
instance,0,NA,NA,NA
relaxed_01,-242513.692894388,-242520.789,7.09610561199952,2.92597828056692e-05
relaxed_02,-373486.259566122,-373488.092,1.83243387797847,4.9062712231759e-06
relaxed_03,242.7500849793,242.780465,0.0303800206999938,0.000125133711643537
relaxed_04,490.390803334182,490.383793,0.00701033418198449,1.42956074039431e-05
relaxed_05,442.957170917721,442.8434,0.113770917721013,0.000256910044772063
relaxed_06,37925.0036396599,37925.0395,0.0358603400964057,9.45558411255068e-07
relaxed_07,75471.7491249077,75471.7491,2.49076983891428e-05,3.30026780698299e-10
relaxed_08,38767.1906517415,38767.4312,0.240548258501804,6.20490579478486e-06
relaxed_09,0.00197630946361728,0.00197630946,3.61727965289549e-12,1.83032046656068e-09
relaxed_10,0.00197652072126351,0.00197652072,1.26351012985637e-12,6.39259744191486e-10
relaxed_11,5.51764125077357,5.5175322,0.000109050773570374,1.97644109028261e-05
relaxed_12,25,25,0,0
relaxed_13,13.3424238910462,13.3428167,0.000392808953799673,2.94397324516699e-05
relaxed_14,370420.618705933,370419.352,1.26670593296876,3.41965376843692e-06
relaxed_15,547293.654207108,547290.527,3.12720710795838,5.71397996800771e-06
relaxed_16,0.999935543975811,0.999935544,2.41889841490206e-11,2.41905433746844e-11
relaxed_17,1.00002763643345,1.00002764,3.5665501663118e-09,3.56645158958986e-09
relaxed_18,0.99985729506255,0.999857295,6.25500762296838e-11,6.25590037123085e-11
relaxed_19,4.00005174808423,3.99996841,8.33380842300002e-05,2.08346855994296e-05
relaxed_20,4.00000219761428,4.00060191,0.00059971238572043,0.00014990553901936
relaxed_21,7.00000033649177,6.99997018,3.01564917695174e-05,4.30808860524566e-06
relaxed_22,0,0,0,0
relaxed_23,0,0,0,0
relaxed_24,0,0,0,0
relaxed_25,-46.9711614562818,-46.9711615,4.37182023915739e-08,9.30745610614161e-10
relaxed_26,-117.781387209964,-117.781387,2.09963999964202e-07,1.78265857884831e-09
relaxed_27,-324.07170997809,-324.07171,2.19100115828041e-08,6.76085289357844e-11
relaxed_28,-0.000893111974411279,-4.22443988e-05,0.000850867575611279,20.1415477502612
relaxed_29,3.61639910451057e-06,-0.000255264656,0.000258881055104511,1.01416725355237
relaxed_30,-1.80239881654117e-05,-0.00405220819,0.00403418420183459,0.995552057712659
relaxed_31,-2522.04507820102,-2522.04678,0.00170179898032075,6.74768998662565e-07
relaxed_32,-3504.55029496849,-3504.66091,0.110615031509951,3.15622636113892e-05
relaxed_33,-10679.2577417544,-10679.2601,0.00235824559968023,2.20824811606586e-07
relaxed_34,-0.0262421165006117,4.3236722e-05,0.0262853532226117,607.940472975997
relaxed_35,-0.0500497341371329,4.01510015e-05,0.0500898851386329,1247.53762714071
relaxed_36,-0.102106057543551,3.16000264e-05,0.102137657569951,3232.20165315909
relaxed_37,0,0,0,0
relaxed_38,0,0,0,0
relaxed_39,426.065530806455,426.04732,0.018210806454988,4.2743624006338e-05
relaxed_40,434.520219109927,434.526829,0.00660989007303669,1.52116961068857e-05
relaxed_41,502.878524295336,502.880299,0.00177470466400109,3.52907971843433e-06
relaxed_42,24704901.5706141,24847507.6,142606.029385902,0.00573924884868139
relaxed_43,23923483.3964629,24117074,193590.603537101,0.00802711819589314
relaxed_44,56340760.2456832,56882065.8,541305.554316796,0.00951627805185649
relaxed_45,0,-3.63797881e-12,3.63797881e-12,1
relaxed_46,0,0,0,0
relaxed_47,0,0,0,0
relaxed_48,152134245.173978,152133497,748.173978000879,4.91787800027287e-06
relaxed_49,123722555.818484,123705701,16854.8184839934,0.00013624932681149
relaxed_50,124658794.103745,124654653,4141.10374499857,3.32206110669497e-05
